what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1767169931144
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1767169931144
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1767169931144
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1767169931160
os,sysinfo,,,"win32",1767169931160
arch,sysinfo,,,"x86_64",1767169931160
ws,sysinfo,,,"win32",1767169931160
locale,sysinfo,,,"en_IN",1767169931160
processors,sysinfo,,,"8",1767169931160
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1767169931160
java.runtime.version,sysinfo,,,"1.8.0_202-b08",1767169931160
java.specification.name,sysinfo,,,"Java Platform API Specification",1767169931160
java.specification.vendor,sysinfo,,,"Oracle Corporation",1767169931160
java.specification.version,sysinfo,,,"1.8",1767169931160
java.vendor,sysinfo,,,"Oracle Corporation",1767169931160
java.version,sysinfo,,,"1.8.0_202",1767169931160
java.vm.info,sysinfo,,,"mixed mode",1767169931160
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1767169931160
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1767169931160
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1767169931160
java.vm.specification.version,sysinfo,,,"1.8",1767169931160
java.vm.vendor,sysinfo,,,"Oracle Corporation",1767169931160
java.vm.version,sysinfo,,,"25.202-b08",1767169931160
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767169974125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767169979425
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767169980390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767169982035
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1767170005171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170005183
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767170005198
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1767170005403
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170006762
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170017060
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170017075
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170019207
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170031028
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170033448
started,bundle,org.eclipse.help.base,3.5.2.v201009090800,"org.eclipse.help.base",1767170038032
started,bundle,org.eclipse.help.ui,3.5.2.r36_v20100702,"org.eclipse.help.ui",1767170038032
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1767170038064
started,bundle,org.eclipse.equinox.http.servlet,1.1.0.v20100503,"org.eclipse.equinox.http.servlet",1767170038079
started,bundle,org.eclipse.equinox.http.registry,1.1.0.v20100503,"org.eclipse.equinox.http.registry",1767170038166
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170038323
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1767170038427
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20100421,"org.eclipse.equinox.jsp.jasper",1767170038427
started,bundle,org.eclipse.help.webapp,3.5.2.r36_r20100816,"org.eclipse.help.webapp",1767170038725
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170042696
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767170047989
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1767170047989
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1767170069825
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1767170099308
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1767170112412
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1767170133018
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1767170133050
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1767170133081
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1767170133160
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170133192
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170135094
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1767170232748
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170245765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170259436
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170268717
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1767170270662
